,DATE,WEATHER
174,2001-05-10,Cloudy
175,2001-05-10,Cloudy
176,2001-05-10,Cloudy
177,2001-05-10,Cloudy
178,2001-05-10,Rain
179,2001-05-11,Cloudy
180,2001-05-11,Rain
181,2001-05-11,Cloudy
182,2001-05-14,Rain
183,2001-05-16,Cloudy
184,2001-05-16,Rain
185,2001-05-17,Rain
186,2001-05-20,Fog
187,2001-05-20,Rain
188,2001-05-21,Fog
189,2001-05-21,Rain
190,2001-05-22,Fog
191,2001-05-22,Rain
192,2001-05-23,Cloudy
193,2001-05-23,Rain
194,2001-05-24,Fog
195,2001-05-24,Rain
196,2001-05-24,Cloudy
197,2001-05-25,Fog
198,2001-05-25,Cloudy
199,2001-05-25,Rain
200,2001-05-26,Cloudy
201,2001-05-26,Fog
202,2001-05-26,Cloudy
203,2001-05-26,Cloudy
204,2001-05-26,Rain
205,2001-05-27,Snow
206,2001-05-27,Cloudy
207,2001-05-28,Rain
208,2001-05-28,Cloudy
209,2001-05-31,Rain
210,2001-05-31,Fog
211,2001-06-01,Rain
212,2001-06-01,Fog
213,2001-06-01,Fog
214,2001-06-02,Cloudy
215,2001-06-02,Rain
216,2001-06-05,Cloudy
217,2001-06-05,Cloudy
218,2001-06-05,Cloudy
219,2001-06-05,Rain
220,2001-06-06,Cloudy
221,2001-06-06,Fog
222,2001-06-06,Rain
223,2001-06-06,Fog
224,2001-06-07,Fog
225,2001-06-07,Fog
226,2001-06-08,Fog
227,2001-06-08,Sunny
228,2001-06-09,Sunny
229,2001-06-11,Cloudy
230,2001-06-11,Snow
231,2001-06-11,Cloudy
232,2001-06-12,Cloudy
233,2001-06-12,Rain
234,2001-06-12,Cloudy
235,2001-06-12,Cloudy
236,2001-06-12,Cloudy
237,2001-06-13,Sunny
238,2001-06-13,Cloudy
239,2001-06-14,Rain
240,2001-06-14,Cloudy
241,2001-06-15,Rain
242,2001-06-17,Rain
243,2001-06-17,Cloudy
244,2001-06-17,Cloudy
245,2001-06-18,Cloudy
246,2001-06-18,Cloudy
247,2001-06-18,Rain
248,2001-06-19,Rain
249,2001-06-21,Rain
250,2001-06-22,Fog
251,2001-06-22,Rain
252,2001-06-23,Sunny
253,2001-06-23,Fog
254,2001-06-24,Sunny
255,2001-06-27,Fog
256,2001-06-28,Sunny
257,2001-06-29,Sunny
258,2001-06-30,Sunny
259,2001-07-01,Rain
260,2001-07-03,Rain
261,2001-07-03,Cloudy
262,2001-07-03,Cloudy
263,2001-07-03,Cloudy
264,2001-07-04,Cloudy
265,2001-07-06,Rain
266,2001-07-07,Cloudy
267,2001-07-07,Cloudy
268,2001-07-07,Rain
269,2001-07-07,Cloudy
270,2001-07-07,Cloudy
271,2001-07-08,Sunny
272,2001-07-08,Cloudy
273,2001-07-08,Cloudy
274,2001-07-09,Sunny
275,2001-07-09,Fog
276,2001-07-09,Fog
277,2001-07-10,Fog
278,2001-07-11,Fog
279,2001-07-12,Fog
280,2001-07-17,Fog
281,2001-07-17,Rain
282,2001-07-18,Fog
283,2001-07-18,Rain
284,2001-07-18,Cloudy
285,2001-07-19,Fog
286,2001-07-19,Fog
287,2001-07-19,Sunny
288,2001-07-20,Fog
289,2001-07-20,Rain
290,2001-07-20,Fog
291,2001-07-21,Rain
292,2001-07-21,Cloudy
293,2001-07-22,Cloudy
294,2001-07-22,Snow
295,2001-07-22,Cloudy
296,2001-07-23,Cloudy
297,2001-07-23,Rain
298,2001-07-23,Cloudy
299,2001-07-23,Cloudy
300,2001-07-24,Rain
301,2001-07-24,Cloudy
302,2001-07-24,Fog
303,2001-07-24,Cloudy
304,2001-07-24,Cloudy
305,2001-07-25,Rain
306,2001-07-25,Cloudy
307,2001-07-25,Cloudy
308,2001-07-25,Cloudy
309,2001-07-26,Sunny
310,2001-07-28,Fog
311,2001-07-28,Rain
312,2001-07-29,Fog
313,2001-07-29,Fog
314,2001-07-29,Sunny
315,2001-07-30,Fog
316,2001-07-30,Fog
317,2001-07-30,Sunny
318,2001-08-01,Rain
319,2001-08-01,Cloudy
320,2001-08-02,Cloudy
321,2001-08-02,Rain
322,2001-08-02,Cloudy
323,2001-08-03,Sunny
324,2001-08-03,Cloudy
325,2001-08-03,Fog
326,2001-08-03,Fog
327,2001-08-05,Sunny
328,2001-08-07,Cloudy
329,2001-08-07,Rain
330,2001-08-08,Sunny
331,2001-08-09,Cloudy
332,2001-08-09,Fog
333,2001-08-09,Rain
334,2001-08-09,Cloudy
335,2001-08-09,Cloudy
336,2001-08-10,Cloudy
337,2001-08-10,Fog
338,2001-08-13,Rain
339,2001-08-13,Cloudy
340,2001-08-15,Rain
341,2001-08-15,Fog
342,2001-08-16,Fog
343,2001-08-16,Rain
344,2001-08-18,Cloudy
345,2001-08-18,Rain
346,2001-08-18,Cloudy
347,2001-08-19,Fog
348,2001-08-19,Rain
349,2001-08-21,Fog
350,2001-08-21,Rain
351,2001-08-22,Cloudy
352,2001-08-22,Cloudy
353,2001-08-22,Rain
354,2001-08-22,Cloudy
355,2001-08-23,Cloudy
356,2001-08-23,Rain
357,2001-08-24,Rain
358,2001-08-24,Fog
359,2001-08-24,Cloudy
360,2001-08-25,Cloudy
361,2001-08-25,Cloudy
362,2001-08-25,Cloudy
363,2001-08-25,Rain
364,2001-08-26,Cloudy
365,2001-08-27,Rain
366,2001-08-27,Cloudy
367,2001-08-30,Rain
368,2001-08-30,Cloudy
369,2001-08-30,Cloudy
370,2001-08-30,Cloudy
371,2001-08-31,Cloudy
372,2001-08-31,Rain
373,2001-09-03,Cloudy
374,2001-09-03,Rain
375,2001-09-06,Rain
376,2001-09-06,Cloudy
377,2001-09-06,Cloudy
378,2001-09-07,Cloudy
379,2001-09-07,Rain
380,2001-09-07,Cloudy
381,2001-09-09,Cloudy
382,2001-09-09,Cloudy
383,2001-09-09,Rain
384,2001-09-10,Cloudy
385,2001-09-13,Rain
386,2001-09-13,Fog
387,2001-09-14,Fog
388,2001-09-17,Rain
389,2001-09-17,Fog
390,2001-09-18,Rain
391,2001-09-18,Fog
392,2001-09-18,Fog
393,2001-09-19,Cloudy
394,2001-09-19,Cloudy
395,2001-09-19,Cloudy
396,2001-09-19,Cloudy
397,2001-09-19,Rain
398,2001-09-20,Cloudy
399,2001-09-20,Cloudy
400,2001-09-20,Cloudy
401,2001-09-20,Rain
402,2001-09-21,Cloudy
403,2001-09-21,Fog
404,2001-09-21,Rain
405,2001-09-22,Sunny
406,2001-09-23,Rain
407,2001-09-23,Cloudy
408,2001-09-23,Cloudy
409,2001-09-24,Cloudy
410,2001-09-24,Rain
411,2001-09-24,Fog
412,2001-09-26,Rain
413,2001-09-29,Fog
414,2001-09-29,Fog
415,2001-09-29,Fog
416,2001-09-30,Sunny
417,2001-09-30,Fog
418,2001-09-30,Fog
419,2001-10-02,Sunny
420,2001-10-04,Cloudy
421,2001-10-04,Rain
422,2001-10-05,Rain
423,2001-10-05,Fog
424,2001-10-08,Rain
425,2001-10-09,Rain
426,2001-10-10,Fog
427,2001-10-10,Rain
428,2001-10-11,Fog
429,2001-10-11,Rain
430,2001-10-12,Rain
431,2001-10-12,Fog
432,2001-10-13,Fog
433,2001-10-13,Rain
434,2001-10-13,Fog
435,2001-10-14,Cloudy
436,2001-10-14,Rain
437,2001-10-14,Snow
438,2001-10-14,Cloudy
439,2001-10-15,Rain
440,2001-10-15,Fog
441,2001-10-16,Rain
442,2001-10-16,Fog
443,2001-10-21,Rain
444,2001-10-22,Cloudy
445,2001-10-22,Cloudy
446,2001-10-22,Rain
447,2001-10-23,Rain
448,2001-10-23,Cloudy
449,2001-10-24,Snow
450,2001-10-24,Cloudy
451,2001-10-24,Snow
452,2001-10-25,Snow
453,2001-10-25,Cloudy
454,2001-10-30,Rain
455,2001-11-01,Rain
456,2001-11-02,Fog
457,2001-11-08,Rain
458,2001-11-13,Rain
459,2001-11-13,Fog
460,2001-11-14,Fog
461,2001-11-14,Rain
462,2001-11-15,Sunny
463,2001-11-16,Fog
464,2001-11-16,Fog
465,2001-11-16,Fog
466,2001-11-16,Sunny
467,2001-11-17,Fog
468,2001-11-17,Fog
469,2001-11-17,Fog
470,2001-11-17,Fog
471,2001-11-17,Sunny
472,2001-11-17,Fog
473,2001-11-18,Fog
474,2001-11-18,Rain
475,2001-11-18,Fog
476,2001-11-19,Rain
477,2001-11-19,Fog
478,2001-11-23,Cloudy
479,2001-11-23,Rain
480,2001-11-24,Fog
481,2001-11-24,Rain
482,2001-11-25,Fog
483,2001-11-25,Rain
484,2001-11-26,Rain
485,2001-11-26,Fog
486,2001-11-27,Rain
487,2001-11-28,Fog
488,2001-11-28,Fog
489,2001-11-28,Rain
490,2001-11-29,Fog
491,2001-11-29,Rain
492,2001-11-30,Rain
493,2001-11-30,Fog
494,2001-12-01,Fog
495,2001-12-01,Rain
496,2001-12-01,Fog
497,2001-12-02,Sunny
498,2001-12-02,Fog
499,2001-12-02,Fog
500,2001-12-02,Fog
501,2001-12-02,Fog
502,2001-12-03,Sunny
503,2001-12-04,Fog
504,2001-12-04,Rain
505,2001-12-05,Rain
506,2001-12-05,Fog
507,2001-12-08,Snow
508,2001-12-08,Fog
509,2001-12-09,Sunny
510,2001-12-11,Sunny
511,2001-12-12,Rain
512,2001-12-12,Fog
513,2001-12-13,Rain
514,2001-12-13,Fog
515,2001-12-14,Snow
516,2001-12-14,Fog
517,2001-12-14,Fog
518,2001-12-15,Sunny
519,2001-12-15,Fog
520,2001-12-16,Rain
521,2001-12-16,Fog
522,2001-12-16,Fog
523,2001-12-17,Rain
524,2001-12-17,Fog
525,2001-12-18,Sunny
526,2001-12-19,Snow
527,2001-12-22,Fog
528,2001-12-22,Rain
529,2001-12-23,Snow
530,2001-12-23,Fog
531,2001-12-24,Fog
532,2001-12-24,Snow
533,2001-12-25,Snow
534,2001-12-26,Fog
535,2001-12-26,Snow
536,2001-12-27,Snow
537,2001-12-27,Fog
538,2001-12-28,Snow
539,2001-12-29,Snow
540,2001-12-30,Snow
541,2002-01-02,Fog
542,2002-01-05,Snow
543,2002-01-05,Fog
544,2002-01-06,Sunny
545,2002-01-12,Snow
546,2002-01-14,Snow
547,2002-01-14,Fog
548,2002-01-15,Snow
549,2002-01-15,Fog
550,2002-01-16,Fog
551,2002-01-16,Snow
552,2002-01-17,Snow
553,2002-01-20,Sunny
554,2002-01-21,Fog
555,2002-01-21,Snow
556,2002-01-22,Snow
557,2002-01-22,Cloudy
558,2002-01-22,Rain
559,2002-01-23,Fog
560,2002-01-23,Rain
561,2002-01-24,Fog
562,2002-01-28,Fog
563,2002-01-29,Rain
564,2002-01-30,Snow
565,2002-01-30,Cloudy
566,2002-01-30,Fog
567,2002-01-31,Fog
568,2002-01-31,Snow
569,2002-02-01,Snow
570,2002-02-01,Snow
571,2002-02-01,Fog
572,2002-02-01,Snow
573,2002-02-02,Sunny
574,2002-02-02,Fog
575,2002-02-03,Fog
576,2002-02-03,Snow
577,2002-02-07,Sunny
578,2002-02-07,Fog
579,2002-02-07,Fog
580,2002-02-08,Fog
581,2002-02-08,Sunny
582,2002-02-08,Fog
583,2002-02-09,Fog
584,2002-02-09,Rain
585,2002-02-10,Snow
586,2002-02-10,Fog
587,2002-02-10,Fog
588,2002-02-12,Snow
589,2002-02-16,Rain
590,2002-02-19,Fog
591,2002-02-19,Rain
592,2002-02-20,Fog
593,2002-02-20,Fog
594,2002-02-20,Snow
595,2002-02-21,Snow
596,2002-02-21,Fog
597,2002-02-25,Snow
598,2002-02-25,Fog
599,2002-02-26,Snow
600,2002-02-26,Fog
601,2002-02-27,Snow
602,2002-02-28,Snow
603,2002-02-28,Fog
604,2002-03-01,Snow
605,2002-03-01,Fog
606,2002-03-02,Fog
607,2002-03-02,Snow
608,2002-03-03,Snow
609,2002-03-03,Fog
610,2002-03-04,Fog
611,2002-03-04,Snow
612,2002-03-05,Fog
613,2002-03-05,Snow
614,2002-03-06,Fog
615,2002-03-06,Sunny
616,2002-03-07,Sunny
617,2002-03-08,Cloudy
618,2002-03-08,Cloudy
619,2002-03-08,Rain
620,2002-03-08,Cloudy
621,2002-03-09,Snow
622,2002-03-09,Cloudy
623,2002-03-09,Cloudy
624,2002-03-12,Sunny
625,2002-03-12,Fog
626,2002-03-12,Fog
627,2002-03-13,Fog
628,2002-03-13,Fog
629,2002-03-13,Sunny
630,2002-03-14,Sunny
631,2002-03-14,Fog
632,2002-03-15,Rain
633,2002-03-16,Fog
634,2002-03-17,Fog
635,2002-03-17,Rain
636,2002-03-18,Rain
637,2002-03-18,Fog
638,2002-03-19,Fog
639,2002-03-19,Rain
640,2002-03-20,Rain
641,2002-03-20,Fog
642,2002-03-21,Snow
643,2002-03-21,Fog
644,2002-03-24,Snow
645,2002-03-25,Fog
646,2002-03-25,Snow
647,2002-03-26,Snow
648,2002-03-26,Fog
649,2002-03-28,Rain
650,2002-03-29,Rain
651,2002-03-29,Fog
652,2002-03-31,Rain
653,2002-03-31,Fog
654,2002-04-01,Fog
655,2002-04-01,Snow
656,2002-04-02,Snow
657,2002-04-02,Snow
658,2002-04-02,Snow
659,2002-04-02,Snow
660,2002-04-03,Cloudy
661,2002-04-03,Snow
662,2002-04-04,Snow
663,2002-04-05,Snow
664,2002-04-07,Fog
665,2002-04-07,Rain
666,2002-04-08,Fog
667,2002-04-08,Fog
668,2002-04-08,Rain
669,2002-04-09,Rain
670,2002-04-09,Fog
671,2002-04-09,Fog
672,2002-04-10,Sunny
673,2002-04-10,Fog
674,2002-04-12,Rain
675,2002-04-13,Sunny
676,2002-04-13,Fog
677,2002-04-14,Sunny
678,2002-04-14,Fog
679,2002-04-17,Rain
680,2002-04-18,Rain
681,2002-04-18,Cloudy
682,2002-04-18,Cloudy
683,2002-04-19,Rain
684,2002-04-19,Cloudy
685,2002-04-19,Cloudy
686,2002-04-19,Cloudy
687,2002-04-20,Fog
688,2002-04-20,Rain
689,2002-04-20,Cloudy
690,2002-04-21,Fog
691,2002-04-21,Rain
692,2002-04-22,Rain
693,2002-04-23,Sunny
694,2002-04-24,Rain
695,2002-04-24,Cloudy
696,2002-04-24,Cloudy
697,2002-04-27,Rain
698,2002-04-27,Cloudy
699,2002-04-28,Fog
700,2002-04-28,Rain
701,2002-04-30,Rain
702,2002-05-01,Fog
703,2002-05-01,Rain
704,2002-05-02,Snow
705,2002-05-02,Rain
706,2002-05-06,Fog
707,2002-05-06,Rain
708,2002-05-07,Sunny
709,2002-05-07,Fog
710,2002-05-08,Cloudy
711,2002-05-08,Rain
712,2002-05-08,Fog
713,2002-05-09,Cloudy
714,2002-05-09,Rain
715,2002-05-09,Cloudy
716,2002-05-09,Cloudy
717,2002-05-11,Rain
718,2002-05-11,Cloudy
719,2002-05-11,Cloudy
720,2002-05-11,Cloudy
721,2002-05-12,Cloudy
722,2002-05-12,Rain
723,2002-05-12,Fog
724,2002-05-13,Rain
725,2002-05-13,Fog
726,2002-05-14,Fog
727,2002-05-15,Rain
728,2002-05-16,Rain
729,2002-05-16,Fog
730,2002-05-19,Rain
731,2002-05-23,Cloudy
732,2002-05-23,Rain
733,2002-05-23,Cloudy
734,2002-05-24,Cloudy
735,2002-05-24,Rain
736,2002-05-24,Cloudy
737,2002-05-25,Cloudy
738,2002-05-25,Rain
739,2002-05-26,Sunny
740,2002-05-27,Rain
741,2002-05-28,Rain
742,2002-05-30,Sunny
743,2002-05-30,Fog
744,2002-05-31,Rain
745,2002-06-02,Rain
746,2002-06-03,Cloudy
747,2002-06-03,Rain
748,2002-06-04,Cloudy
749,2002-06-04,Cloudy
750,2002-06-04,Cloudy
751,2002-06-04,Rain
752,2002-06-05,Rain
753,2002-06-05,Fog
754,2002-06-05,Cloudy
755,2002-06-06,Fog
756,2002-06-06,Sunny
757,2002-06-07,Sunny
758,2002-06-07,Fog
759,2002-06-08,Sunny
760,2002-06-09,Sunny
761,2002-06-10,Cloudy
762,2002-06-10,Rain
763,2002-06-10,Cloudy
764,2002-06-11,Rain
765,2002-06-11,Cloudy
766,2002-06-11,Cloudy
767,2002-06-12,Cloudy
768,2002-06-12,Sunny
769,2002-06-13,Rain
770,2002-06-14,Snow
771,2002-06-14,Snow
772,2002-06-17,Rain
773,2002-06-20,Fog
774,2002-06-21,Sunny
775,2002-06-22,Sunny
776,2002-06-23,Fog
777,2002-06-25,Rain
778,2002-06-25,Cloudy
779,2002-06-25,Snow
780,2002-06-25,Cloudy
781,2002-06-26,Rain
782,2002-06-26,Snow
783,2002-06-26,Cloudy
784,2002-06-27,Fog
785,2002-06-30,Sunny
786,2002-06-30,Fog
787,2002-07-04,Cloudy
788,2002-07-04,Cloudy
789,2002-07-04,Rain
790,2002-07-06,Rain
791,2002-07-08,Cloudy
792,2002-07-08,Cloudy
793,2002-07-09,Rain
794,2002-07-09,Cloudy
795,2002-07-09,Cloudy
796,2002-07-17,Fog
797,2002-07-18,Fog
798,2002-07-18,Sunny
799,2002-07-18,Fog
800,2002-07-19,Fog
801,2002-07-19,Sunny
802,2002-07-19,Fog
803,2002-07-20,Rain
804,2002-07-22,Rain
805,2002-07-25,Rain
806,2002-07-26,Sunny
807,2002-07-27,Rain
808,2002-07-27,Fog
809,2002-07-27,Fog
810,2002-07-28,Cloudy
811,2002-07-28,Rain
812,2002-07-29,Cloudy
813,2002-07-29,Rain
814,2002-07-29,Fog
815,2002-07-30,Fog
816,2002-08-01,Rain
817,2002-08-01,Cloudy
818,2002-08-02,Rain
819,2002-08-03,Sunny
820,2002-08-04,Rain
821,2002-08-04,Cloudy
822,2002-08-04,Cloudy
823,2002-08-04,Cloudy
824,2002-08-05,Sunny
825,2002-08-05,Cloudy
826,2002-08-05,Fog
827,2002-08-05,Fog
828,2002-08-11,Sunny
829,2002-08-12,Rain
830,2002-08-12,Cloudy
831,2002-08-12,Cloudy
832,2002-08-13,Cloudy
833,2002-08-13,Cloudy
834,2002-08-13,Rain
835,2002-08-13,Cloudy
836,2002-08-14,Cloudy
837,2002-08-14,Cloudy
838,2002-08-14,Rain
839,2002-08-14,Fog
840,2002-08-15,Fog
841,2002-08-15,Sunny
842,2002-08-15,Fog
843,2002-08-16,Cloudy
844,2002-08-16,Rain
845,2002-08-19,Cloudy
846,2002-08-19,Rain
847,2002-08-19,Cloudy
848,2002-08-19,Cloudy
849,2002-08-19,Cloudy
850,2002-08-21,Rain
851,2002-08-22,Cloudy
852,2002-08-22,Rain
853,2002-08-22,Cloudy
854,2002-08-22,Cloudy
855,2002-08-22,Cloudy
856,2002-08-23,Cloudy
857,2002-08-23,Fog
858,2002-08-23,Cloudy
859,2002-08-23,Rain
860,2002-08-24,Fog
861,2002-08-24,Rain
862,2002-08-24,Fog
863,2002-08-24,Fog
864,2002-08-25,Fog
865,2002-08-25,Rain
866,2002-08-26,Fog
867,2002-08-26,Sunny
868,2002-08-26,Fog
869,2002-08-26,Fog
870,2002-08-27,Sunny
871,2002-08-27,Fog
872,2002-08-27,Fog
873,2002-08-28,Fog
874,2002-08-29,Sunny
875,2002-08-29,Fog
876,2002-08-30,Sunny
877,2002-08-30,Fog
878,2002-08-31,Sunny
879,2002-08-31,Fog
880,2002-08-31,Fog
881,2002-09-01,Fog
882,2002-09-01,Sunny
883,2002-09-01,Fog
884,2002-09-02,Cloudy
885,2002-09-02,Cloudy
886,2002-09-02,Rain
887,2002-09-05,Fog
888,2002-09-05,Fog
889,2002-09-06,Fog
890,2002-09-06,Sunny
891,2002-09-06,Fog
892,2002-09-07,Fog
893,2002-09-08,Fog
894,2002-09-08,Fog
895,2002-09-08,Sunny
896,2002-09-09,Sunny
897,2002-09-09,Fog
898,2002-09-09,Fog
899,2002-09-10,Fog
900,2002-09-10,Rain
901,2002-09-10,Fog
902,2002-09-10,Fog
903,2002-09-13,Sunny
904,2002-09-14,Rain
905,2002-09-16,Fog
906,2002-09-17,Fog
907,2002-09-18,Fog
908,2002-09-18,Fog
909,2002-09-18,Cloudy
910,2002-09-18,Cloudy
911,2002-09-18,Rain
912,2002-09-19,Rain
913,2002-09-19,Cloudy
914,2002-09-19,Cloudy
915,2002-09-19,Cloudy
916,2002-09-20,Fog
917,2002-09-20,Rain
918,2002-09-22,Fog
919,2002-09-22,Rain
920,2002-09-24,Fog
921,2002-09-25,Fog
922,2002-09-26,Fog
923,2002-09-26,Sunny
924,2002-09-27,Fog
925,2002-09-27,Sunny
926,2002-09-27,Fog
927,2002-09-28,Rain
928,2002-09-28,Fog
929,2002-09-29,Fog
930,2002-09-29,Rain
931,2002-09-29,Cloudy
932,2002-09-29,Fog
933,2002-10-01,Rain
934,2002-10-02,Cloudy
935,2002-10-02,Cloudy
936,2002-10-02,Cloudy
937,2002-10-02,Rain
938,2002-10-03,Fog
939,2002-10-03,Rain
940,2002-10-04,Fog
941,2002-10-04,Rain
942,2002-10-06,Rain
943,2002-10-09,Sunny
944,2002-10-09,Fog
945,2002-10-09,Fog
946,2002-10-10,Fog
947,2002-10-10,Fog
948,2002-10-10,Fog
949,2002-10-10,Sunny
950,2002-10-11,Sunny
951,2002-10-11,Fog
952,2002-10-11,Fog
953,2002-10-11,Fog
954,2002-10-12,Fog
955,2002-10-12,Fog
956,2002-10-12,Rain
957,2002-10-16,Fog
958,2002-10-17,Rain
959,2002-10-17,Fog
960,2002-10-18,Fog
961,2002-10-18,Rain
962,2002-10-21,Sunny
963,2002-10-22,Sunny
964,2002-10-23,Rain
965,2002-10-23,Fog
966,2002-10-24,Fog
967,2002-10-24,Rain
968,2002-10-25,Fog
969,2002-10-25,Rain
970,2002-10-26,Sunny
971,2002-10-27,Rain
972,2002-10-28,Rain
973,2002-10-28,Fog
974,2002-10-29,Rain
975,2002-10-29,Fog
976,2002-10-31,Fog
977,2002-11-03,Fog
978,2002-11-04,Fog
979,2002-11-04,Sunny
980,2002-11-04,Fog
981,2002-11-05,Fog
982,2002-11-05,Rain
983,2002-11-06,Sunny
984,2002-11-07,Fog
985,2002-11-07,Sunny
986,2002-11-09,Rain
987,2002-11-10,Fog
988,2002-11-10,Rain
989,2002-11-11,Fog
990,2002-11-11,Rain
991,2002-11-12,Fog
992,2002-11-13,Fog
993,2002-11-14,Fog
994,2002-11-14,Rain
995,2002-11-15,Fog
996,2002-11-15,Rain
997,2002-11-16,Snow
998,2002-11-16,Fog
999,2002-11-17,Snow
1000,2002-11-18,Rain
1001,2002-11-18,Fog
1002,2002-11-19,Rain
1003,2002-11-19,Fog
1004,2002-11-19,Cloudy
1005,2002-11-21,Snow
1006,2002-11-21,Fog
1007,2002-11-23,Snow
1008,2002-11-24,Fog
1009,2002-11-24,Snow
1010,2002-11-26,Snow
1011,2002-11-26,Fog
1012,2002-11-27,Sunny
1013,2002-11-28,Sunny
1014,2002-11-30,Snow
1015,2002-12-02,Snow
1016,2002-12-02,Fog
1017,2002-12-03,Snow
1018,2002-12-03,Fog
1019,2002-12-05,Snow
1020,2002-12-06,Fog
1021,2002-12-07,Sunny
1022,2002-12-11,Fog
1023,2002-12-12,Fog
1024,2002-12-12,Sunny
1025,2002-12-13,Sunny
1026,2002-12-13,Fog
1027,2002-12-14,Sunny
1028,2002-12-17,Cloudy
1029,2002-12-17,Cloudy
1030,2002-12-17,Rain
